id,season,city,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin_type,result_margin,team1_score,team2_score,eliminator,umpire1,umpire2
1,2016,Mohali,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,normal,runs,67,103,170,N,A Deshmukh,J Madanagopal
2,2016,Delhi,"Arun Jaitley Stadium, Delhi",Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,normal,runs,13,170,183,N,V Kulkarni,P Reiffel
3,2016,Hyderabad,"Rajiv Gandhi Intl. Stadium, Hyderabad",Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,normal,wickets,6,194,196,N,K Ananthapadmanabhan,V Kulkarni
4,2016,Lucknow,"BRSABV Ekana Stadium, Lucknow",Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Delhi Capitals,normal,runs,107,194,87,N,P Reiffel,C Shamshuddin
5,2016,Mohali,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,Mumbai Indians,normal,wickets,6,206,200,N,K Ananthapadmanabhan,A Deshmukh
6,2016,Delhi,"Arun Jaitley Stadium, Delhi",Kolkata Knight Riders,Punjab Kings,Punjab Kings,bat,Kolkata Knight Riders,normal,wickets,4,232,231,N,N Menon,R Pandit
7,2016,Bengaluru,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,normal,wickets,4,216,213,N,V Kulkarni,A Deshmukh
8,2016,Mumbai,"Wankhede Stadium, Mumbai",Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,normal,runs,22,199,177,N,S Ravi,C Shamshuddin
9,2016,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,Royal Challengers Bengaluru,normal,runs,3,174,171,N,S Ravi,R Pandit
10,2016,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Chennai Super Kings,normal,runs,3,169,172,N,V Kulkarni,J Madanagopal
11,2016,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,bat,Delhi Capitals,normal,runs,20,166,186,N,V Kulkarni,A Deshmukh
12,2016,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Chennai Super Kings,normal,runs,19,216,197,N,K Ananthapadmanabhan,R Pandit
13,2016,Delhi,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Punjab Kings,Punjab Kings,bat,Punjab Kings,normal,runs,21,181,202,N,A Deshmukh,V Kulkarni
14,2016,Chennai,"M. A. Chidambaram Stadium, Chennai",Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,normal,runs,92,210,118,N,M Erasmus,C Shamshuddin
15,2016,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,Rajasthan Royals,tie,runs,0,194,194,Y,C Shamshuddin,S Ravi
16,2016,Chennai,"M. A. Chidambaram Stadium, Chennai",Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,field,Mumbai Indians,normal,wickets,9,80,78,N,C Shamshuddin,N Menon
17,2016,Jaipur,"Sawai Mansingh Stadium, Jaipur",Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,Rajasthan Royals,normal,wickets,3,178,182,N,N Menon,A Deshmukh
18,2016,Hyderabad,"Rajiv Gandhi Intl. Stadium, Hyderabad",Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,Kolkata Knight Riders,normal,wickets,4,179,176,N,M Erasmus,J Madanagopal
19,2016,Jaipur,"Sawai Mansingh Stadium, Jaipur",Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,field,Rajasthan Royals,normal,runs,92,119,211,N,C Shamshuddin,M Erasmus
